시리얼,위도,경도
V02Q1940612,37.57807617,126.8951928
V02Q1940068,37.4913371,126.9923309
V02Q1940955,37.50458059,126.9945012
V02Q1940954,37.508671,127.0227914
V02Q1940953,37.48903041,127.0678834
V02Q1940952,37.48870857,126.9786333
V02Q1940951,37.53124609,126.8361285
V02Q1940950,37.62280993,127.0749633
V02Q1940949,37.6303757,127.0226279
V02Q1940948,37.47007655,126.907223
V02Q1940935,37.5648,126.975981
V02Q1940947,37.4990258,126.9520123
V02Q1940946,37.534444,126.8347904
V02Q1940945,37.55524371,126.9069028
V02Q1940944,37.60504164,127.0754326
V02Q1940943,37.54850717,126.8646481
V02Q1940942,37.53246263,126.8330763
V02Q1940941,37.50908813,127.0840569
V02Q1940889,37.63994636,127.0360107
V02Q1940888,37.56307353,127.0819947
V02Q1940887,37.50274913,127.0925242
V02Q1940886,37.58243882,126.9821042
V02Q1940885,37.65989698,127.0685417
V02Q1940884,37.48739741,126.9271244
V02Q1940883,37.57646196,126.9655363
V02Q1940882,37.58489888,127.0940258
V02Q1940881,37.58027207,127.0030684
V02Q1940880,37.45237475,126.908304
V02Q1940879,37.60666796,127.0273181
V02Q1940878,37.52441417,126.9370134
V02Q1940877,37.60787019,126.9563725
V02Q1940876,37.54305082,126.8690922
V02Q1940875,37.57852949,127.009068
V02Q1940874,37.51933652,126.8500062
V02Q1940873,37.53247211,127.1143011
V02Q1940872,37.61059265,126.9329957
V02Q1940871,37.57114665,127.037106
V02Q1940870,37.53810274,127.0468807
V02Q1940869,37.52535041,126.837774
V02Q1940868,37.56051284,127.0528535
V02Q1940867,37.54502804,126.8646607
V02Q1940866,37.5580386,127.0296494
V02Q1940865,37.54645142,126.872103
V02Q1940864,37.52576762,126.8753744
V02Q1940863,37.51887605,126.8710894
V02Q1940862,37.48887854,126.8851157
V02Q1940861,37.50908951,126.8668465
V02Q1940860,37.5334424,127.0809633
V02Q1940859,37.59243151,126.9640906
V02Q1940858,37.48821616,126.8851381
V02Q1940857,37.58801836,126.9838569
V02Q1940856,37.5403991,127.0047736
V02Q1940855,37.52455321,126.8557892
V02Q1940854,37.5555906,126.905533
V02Q1940853,37.53521949,126.8398536
V02Q1940852,37.59374035,126.9497638
V02Q1940851,37.55039085,127.1282922
V02Q1940850,37.52497813,126.8974438
V02Q1940849,37.53555966,126.8328365
V02Q1940848,37.57769818,127.006748
V02Q1940847,37.48968349,127.1119082
V02Q1940846,37.63739638,127.0390037
V02Q1940845,37.48976406,127.1242858
V02Q1940844,37.57894032,127.0144864
V02Q1940843,37.57893651,126.9859126
V02Q1940842,37.55214248,127.0355848
V02Q1940841,37.57203734,127.0050414
V02Q1940840,37.58188025,126.9981525
V02Q1940839,37.57121882,126.9906086
V02Q1940838,37.51841537,127.0680591
V02Q1940837,37.58414084,126.9705631
V02Q1940836,37.52600465,126.9133532
V02Q1940835,37.52115715,126.86114
V02Q1940834,37.48098219,126.971649
V02Q1940833,37.57131077,126.8708252
V02Q1940832,37.51176831,127.1242095
V02Q1940831,37.56700001,127.1368127
V02Q1940830,37.52148869,126.9594472
V02Q1940829,37.53727135,126.9043173
V02Q1940828,37.56133205,127.0396888
V02Q1940827,37.58325045,127.005815
V02Q1940826,37.52038424,126.878025
V02Q1940825,37.53825651,127.1219514
V02Q1940824,37.58481256,126.8215868
V02Q1940823,37.63506161,127.0181629
V02Q1940822,37.57542384,126.9577806
V02Q1940821,37.50283277,127.1086949
V02Q1940820,37.51105423,127.1022618
V02Q1940819,37.50734426,127.1046886
V02Q1940818,37.57074131,127.0163741
V02Q1940817,37.5844799,126.9969232
V02Q1940816,37.51241208,126.9986828
V02Q1940815,37.52999155,127.0710049
V02Q1940814,37.51938461,126.8546681
V02Q1940813,37.55461778,126.895956
V02Q1940812,37.54983788,127.1104882
V02Q1940811,37.52727312,127.1162491
V02Q1940810,37.57367794,127.0132041
V02Q1940809,37.54364297,126.8813523
V02Q1940808,37.56874524,126.9687649
V02Q1940807,37.57311562,127.020059
V02Q1940806,37.54803199,126.8667974
V02Q1940805,37.51324732,126.8349248
V02Q1940804,37.51585417,126.8539517
V02Q1940803,37.52303768,126.8722936
V02Q1940802,37.60528332,126.9667378
V02Q1940801,37.51402198,126.8740014
V02Q1940800,37.51999286,127.1122492
V02Q1940799,37.6378168,127.038271
V02Q1940798,37.54503786,127.136812
V02Q1940797,37.59737666,126.9634322
V02Q1940796,37.57484815,127.0199828
V02Q1940795,37.5240969,126.8372588
V02Q1940794,37.54573201,126.8677706
V02Q1940793,37.49345737,127.146171
V02Q1940792,37.53842273,126.86453
V02Q1940791,37.49638178,127.1490194
V02Q1940790,37.51427828,127.112259
V02Q1940789,37.51755161,127.0479951
V02Q1940788,37.50954786,127.0741524
V02Q1940787,37.51295504,127.0946619
V02Q1940786,37.54210154,127.0496713
V02Q1940785,37.57614571,127.0288362
V02Q1940784,37.49824776,127.1262966
V02Q1940783,37.6396453,127.0380532
V02Q1940782,37.54467828,126.8351042
V02Q1940781,37.50615368,127.0847562
V02Q1940780,37.5646989,126.975981
V02Q1940779,37.54495873,127.0943048
V02Q1940778,37.52259074,126.8755481
V02Q1940777,37.45887058,126.9059122
V02Q1940776,37.5396843,126.8750264
V02Q1940775,37.50580146,127.1096638
V02Q1940774,37.53851648,126.878244
V02Q1940773,37.52856046,126.8591755
V02Q1940772,37.50363119,127.1035033
V02Q1940771,37.53513426,126.8835081
V02Q1940770,37.5498763,127.1294778
V02Q1940769,37.52786532,126.8557268
V02Q1940768,37.47825069,127.1392446
V02Q1940767,37.50260385,127.0923109
V02Q1940766,37.54565284,126.8631017
V02Q1940765,37.51073166,126.8705354
V02Q1940764,37.51530106,127.1340732
V02Q1940763,37.62659207,127.0346233
V02Q1940762,37.54024511,126.8644211
V02Q1940761,37.56405244,127.0444844
V02Q1940760,37.51760243,126.8469207
V02Q1940759,37.53664596,126.8830174
V02Q1940758,37.56011949,127.0316064
V02Q1940757,37.49672263,127.1428573
V02Q1940756,37.50007359,126.9324381
V02Q1940755,37.65885611,127.0685008
V02Q1940754,37.52165976,126.8426812
V02Q1940753,37.54936466,127.0266557
V02Q1940752,37.65416617,127.0292282
V02Q1940751,37.4984887,126.8895025
V02Q1940750,37.52197114,126.8359083
V02Q1940749,37.52524025,126.8422566
V02Q1940748,37.53736986,127.0508722
V02Q1940747,37.499726,126.9513962
V02Q1940746,37.6321897,127.021742
V02Q1940745,37.49410576,127.1414902
V02Q1940744,37.54475143,127.0531118
V02Q1940743,37.53641965,127.056427
V02Q1940742,37.50104027,127.1097395
V02Q1940741,37.53575061,126.8785737
V02Q1940740,37.52706161,126.8480605
V02Q1940739,37.54976209,127.0196088
V02Q1940738,37.55137214,127.0215542
V02Q1940737,37.60542622,126.9674449
V02Q1940736,37.50419493,127.1281877
V02Q1940735,37.56840651,127.0336607
V02Q1940734,37.5183379,127.1004663
V02Q1940733,37.54818971,127.0565978
V02Q1940732,37.52665506,126.8369618
V02Q1940731,37.51798916,126.9853183
V02Q1940730,37.43993479,126.9071726
V02Q1940729,37.51306228,126.8320835
V02Q1940728,37.54496287,126.9471
V02Q1940727,37.60504697,127.0762879
V02Q1940726,37.53901229,126.957917
V02Q1940725,37.47982135,126.9023653
V02Q1940724,37.49732201,127.0513158
V02Q1940723,37.55227897,126.9235272
V02Q1940722,37.55482867,126.9259661
V02Q1940721,37.58608068,127.0008483
V02Q1940720,37.57443226,127.0108889
V02Q1940719,37.57446434,126.9902439
V02Q1940718,37.57389927,127.0046582
V02Q1940717,37.48539023,127.1321718
V02Q1940716,37.57595297,126.9581816
V02Q1940715,37.51259339,126.8376519
V02Q1940714,37.51334541,127.1068182
V02Q1940713,37.51618536,127.1145406
V02Q1940712,37.64792279,127.011898
V02Q1940711,37.553799,126.9123651
V02Q1940710,37.57784312,127.0156288
V02Q1940709,37.56944521,127.0446016
V02Q1940708,37.51430062,127.0914778
V02Q1940707,37.51549527,126.8608799
V02Q1940706,37.50204913,127.1171108
V02Q1940705,37.52307169,126.848613
V02Q1940704,37.4632734,126.9180757
V02Q1940703,37.48063434,126.9145819
V02Q1940702,37.45335154,126.904031
V02Q1940701,37.47373839,126.9176609
V02Q1940700,37.54026182,126.9562101
V02Q1940699,37.44999331,126.9129044
V02Q1940698,37.53462672,127.0007359
V02Q1940697,37.58756924,126.8829428
V02Q1940696,37.56471491,126.9222725
V02Q1940695,37.57191655,126.9619818
V02Q1940694,37.48024081,126.9427081
V02Q1940693,37.45606838,126.9003178
V02Q1940692,37.49049222,126.9414301
V02Q1940691,37.46625325,126.9307404
V02Q1940690,37.44551467,126.9041242
V02Q1940689,37.48334526,126.9377988
V02Q1940688,37.56552044,126.9148609
V02Q1940687,37.58117314,127.0057341
V02Q1940686,37.54136163,126.9911287
V02Q1940685,37.47839602,126.9162619
V02Q1940684,37.54021108,126.9438638
V02Q1940683,37.46211823,126.9191588
V02Q1940682,37.46188726,126.9244554
V02Q1940681,37.47559625,126.9735982
V02Q1940680,37.48932572,126.928863
V02Q1940679,37.49521273,127.1214388
V02Q1940678,37.48258121,126.942046
V02Q1940677,37.48458746,126.9070348
V02Q1940676,37.4588853,126.9225194
V02Q1940675,37.47827679,126.9395729
V02Q1940674,37.47480843,126.9652601
V02Q1940673,37.4879962,126.9182374
V02Q1940672,37.48797466,126.9258106
V02Q1940671,37.46377035,126.9256905
V02Q1940670,37.53927918,127.0498732
V02Q1940669,37.4764274,126.9801351
V02Q1940668,37.5190207,126.9805697
V02Q1940667,37.49265835,126.9269739
V02Q1940666,37.47047152,126.9679543
V02Q1940665,37.64068341,127.0354904
V02Q1940664,37.52037062,126.9770268
V02Q1940663,37.47474727,126.9777859
V02Q1940662,37.47572644,126.9425353
V02Q1940661,37.55231328,126.9466013
V02Q1940660,37.48712943,126.923453
V02Q1940659,37.53774885,126.8278791
V02Q1940658,37.48355726,126.9256695
V02Q1940657,37.48976067,126.9478324
V02Q1940656,37.47351068,126.8921347
V02Q1940655,37.58005084,126.9851462
V02Q1940654,37.54304643,126.8836212
V02Q1940653,37.55310607,126.934626
V02Q1940652,37.48370843,126.9025203
V02Q1940651,37.54623974,126.9847901
V02Q1940650,37.54668774,126.9454005
V02Q1940649,37.57616826,126.9688622
V02Q1940648,37.53229458,126.9959865
V02Q1940647,37.54948025,126.958483
V02Q1940646,37.54767426,126.9113269
V02Q1940645,37.46153901,126.9302475
V02Q1940644,37.56119718,127.034603
V02Q1940643,37.54433165,126.9129634
V02Q1940642,37.56021552,127.0643391
V02Q1940641,37.44671934,126.9102337
V02Q1940640,37.5639051,126.9194904
V02Q1940639,37.54960389,127.0329741
V02Q1940638,37.5502932,126.9103908
V02Q1940637,37.52544703,126.9688458
V02Q1940636,37.55227266,127.0230202
V02Q1940635,37.56127599,126.9033309
V02Q1940634,37.55406743,126.9565258
V02Q1940633,37.47051139,126.9409596
V02Q1940632,37.56496432,127.0344748
V02Q1940631,37.55647074,126.9485265
V02Q1940630,37.52554041,126.9650708
V02Q1940629,37.55689472,126.9615926
V02Q1940628,37.56835683,127.0405289
V02Q1940627,37.55181934,127.0673796
V02Q1940626,37.55065466,126.9211923
V02Q1940625,37.49069882,126.9587047
V02Q1940624,37.55458164,126.9038541
V02Q1940623,37.56371986,127.039493
V02Q1940622,37.57048042,126.8965735
V02Q1940621,37.54674236,126.9142464
V02Q1940620,37.56519447,126.9035134
V02Q1940619,37.54618548,126.9561104
V02Q1940618,37.55713349,126.9544033
V02Q1940617,37.5419721,127.0163706
V02Q1940616,37.56044317,127.0308353
V02Q1940615,37.55783854,127.0241481
V02Q1940614,37.53754208,126.8717674
V02Q1940613,37.55578891,126.9059843
V02Q1940611,37.54552807,126.9147568
V02Q1940610,37.55614009,126.8965844
V02Q1940609,37.55627539,126.9122386
V02Q1940608,37.55668898,126.9859042
V02Q1940607,37.55887111,127.0385527
V02Q1940606,37.55445921,126.9376924
V02Q1940605,37.55443,126.9154401
V02Q1940604,37.56783722,126.9809414
V02Q1940603,37.56336834,127.0559644
V02Q1940602,37.55462362,126.980559
V02Q1940601,37.56026457,127.0480146
V02Q1940600,37.52444602,126.9568426
V02Q1940599,37.55740456,127.0166075
V02Q1940598,37.55172798,127.012144
V02Q1940597,37.55619503,126.9811609
V02Q1940596,37.55904631,126.9803118
V02Q1940595,37.53439873,126.95138
V02Q1940594,37.54923179,127.0538775
V02Q1940593,37.54694234,126.9302491
V02Q1940592,37.5705585,126.959673
V02Q1940591,37.47891044,126.9492525
V02Q1940590,37.56072357,127.0484251
V02Q1940589,37.47647508,126.9364676
V02Q1940588,37.55818867,127.0508266
V02Q1940587,37.54667133,127.0621397
V02Q1940586,37.55287788,126.9009012
V02Q1940585,37.55882313,126.946573
V02Q1940584,37.54995512,126.9780201
V02Q1940583,37.54520551,126.9233909
V02Q1940582,37.54889736,127.0309606
V02Q1940581,37.56142506,126.9016199
V02Q1940580,37.56672984,127.0510584
V02Q1940579,37.55962932,126.8976687
V02Q1940578,37.52637263,127.0028846
V02Q1940577,37.52364288,126.993654
V02Q1940576,37.57717666,126.896669
V02Q1940575,37.55582287,127.0323182
V02Q1940574,37.53718194,126.9656951
V02Q1940573,37.56839081,127.0054393
V02Q1940572,37.52111797,126.9717905
V02Q1940571,37.54650411,126.9752365
V02Q1940570,37.55435867,127.0080426
V02Q1940569,37.56942137,126.9167554
V02Q1940568,37.56285073,127.0132604
V02Q1940567,37.56805562,126.9965099
V02Q1940566,37.56723424,126.995185
V02Q1940565,37.54195012,127.0536124
V02Q1940564,37.56085957,127.0085631
V02Q1940563,37.56412983,127.0314397
V02Q1940562,37.56554217,126.9910351
V02Q1940561,37.48519319,126.918737
V02Q1940560,37.49247703,126.9563107
V02Q1940559,37.53293663,126.9912199
V02Q1940558,37.47970435,126.9474737
V02Q1940557,37.46927712,126.9316363
V02Q1940556,37.54024156,127.0546753
V02Q1940555,37.48547764,126.9474934
V02Q1940554,37.55728601,127.0091753
V02Q1940553,37.56082689,126.996001
V02Q1940552,37.47639433,126.9156696
V02Q1940551,37.56877486,126.9608834
V02Q1940550,37.48634806,126.9514941
V02Q1940549,37.47563756,126.9221587
V02Q1940548,37.49124583,126.930777
V02Q1940547,37.47779149,126.9552974
V02Q1940546,37.56444847,127.0221103
V02Q1940545,37.5463061,127.0436415
V02Q1940544,37.56163971,127.001153
V02Q1940543,37.59010207,126.9446623
V02Q1940542,37.53539263,126.9444368
V02Q1940541,37.56276898,126.9767645
V02Q1940540,37.56531098,126.9844918
V02Q1940539,37.57692043,127.0045137
V02Q1940538,37.48627768,126.936066
V02Q1940537,37.47564681,126.952494
V02Q1940536,37.56356092,126.9972196
V02Q1940535,37.55049329,126.9362759
V02Q1940534,37.55572217,126.9402897
V02Q1940533,37.48305759,126.9079688
V02Q1940532,37.47072788,126.9217951
V02Q1940531,37.55488942,126.9362371
V02Q1940530,37.54214419,127.0477518
V02Q1940529,37.5594009,127.0204385
V02Q1940528,37.55530763,126.9470009
V02Q1940527,37.56898584,127.0218832
V02Q1940526,37.54698492,127.0215794
V02Q1940525,37.54226566,126.9607602
V02Q1940524,37.55435463,126.9681312
V02Q1940523,37.52568799,126.9992422
V02Q1940522,37.57707481,127.0123665
V02Q1940521,37.5487627,126.925523
V02Q1940520,37.57822552,126.9232322
V02Q1940519,37.54719218,126.9344074
V02Q1940518,37.51508377,127.0138565
V02Q1940517,37.48248622,126.9264971
V02Q1940516,37.56506052,126.9543342
V02Q1940515,37.50174862,126.8507697
V02Q1940514,37.59197867,126.9517166
V02Q1940513,37.49417976,127.1549914
V02Q1940512,37.47556168,126.9348911
V02Q1940511,37.55265508,127.0290322
V02Q1940510,37.49267131,126.9452685
V02Q1940509,37.58674357,126.9473291
V02Q1940508,37.55818846,126.9643308
V02Q1940507,37.53127747,127.1232713
V02Q1940506,37.53508967,127.0932207
V02Q1940505,37.51723048,127.1438239
V02Q1940504,37.55905889,127.0289608
V02Q1940503,37.55401067,127.0688982
V02Q1940502,37.54081481,127.049564
V02Q1940501,37.55200342,127.0363244
V02Q1940500,37.56155266,127.0187487
V02Q1940499,37.57496003,126.9702723
V02Q1940498,37.56078213,126.9955455
V02Q1940497,37.5383121,126.9478368
V02Q1940496,37.53877565,127.0597607
V02Q1940495,37.46145538,126.8900188
V02Q1940494,37.58744695,126.9445206
V02Q1940493,37.48706543,126.9420381
V02Q1940492,37.52818658,126.8601068
V02Q1940491,37.568251,127.048139
V02Q1940490,37.545534,126.9410961
V02Q1940489,37.53077062,126.8645921
V02Q1940488,37.5821592,126.9394633
V02Q1940487,37.55886948,126.9590045
V02Q1940486,37.46670274,126.890697
V02Q1940485,37.59923312,126.9163873
V02Q1940484,37.46802677,126.9021912
V02Q1940483,37.46309492,126.9039678
V02Q1940482,37.55148976,127.1330982
